id,name,picture_file_name,food_group,food_group_id,food_subgroup,food_subgroup_id,status
1,Poireau,1.jpg,Fruits et légumes,1,Légumes,1,0
2,Ail,2.jpg,Herbes et épices,2,Herbes,3,0
3,Asperge,3.jpg,Fruits et légumes,1,Légumes,1,0
4,Chou fleur,4.jpg,Fruits et légumes,1,Légumes,1,0
5,Choux de Bruxelles,5.jpg,Fruits et légumes,1,Légumes,1,0
6,Brocoli,6.jpg,Fruits et légumes,1,Légumes,1,0
7,Chou chinois,7.jpg,Fruits et légumes,1,Légumes,1,0
8,Navet,8.jpg,Fruits et légumes,1,Légumes,1,0
9,Pois chiches,9.jpg,Épicerie salée,3,Légumes secs,6,0
10,Citron,10.jpg,Fruits et légumes,1,Fruits,2,0
11,Safran,11.jpg,Herbes et épices,2,Épices,4,0
12,Concombre,12.jpg,Fruits et légumes,1,Légumes,1,0
13,Roquette,13.jpg,Fruits et légumes,1,Légumes,1,0
14,Lentilles,14.jpg,Épicerie salée,3,Légumes secs,6,0
15,Menthe,15.jpg,Herbes et épices,2,Herbes,3,0
16,Muscade,16.jpg,Herbes et épices,2,Épices,4,0
17,Basilic,17.jpg,Herbes et épices,2,Herbes,3,0
18,Olives noires,18.jpg,Épicerie salée,3,Assaisonnements et condiments,8,0
19,Riz,19.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
20,Avocat,20.jpg,Fruits et légumes,1,Fruits,2,0
21,Persil,21.jpg,Herbes et épices,2,Herbes,3,0
22,Poivre,22.jpg,Herbes et épices,2,Épices,4,0
23,Petits pois,23.jpg,Fruits et légumes,1,Légumes,1,0
24,Abricot sec,24.jpg,Fruits et légumes,1,Fruits,2,0
25,Radis,25.jpg,Fruits et légumes,1,Légumes,1,0
26,Tomate,26.jpg,Fruits et légumes,1,Légumes,1,0
27,Aubergine,27.jpg,Fruits et légumes,1,Légumes,1,0
28,Pomme de terre,28.jpg,Fruits et légumes,1,Légumes,1,0
29,Thym,29.jpg,Herbes et épices,2,Herbes,3,0
30,Blé,30.jpg,Épicerie salée,3,"Pâtes, riz, purée, féculents",5,0
31,Épi de maïs,31.jpg,Fruits et légumes,1,Légumes,1,0
32,Céleri branche,32.jpg,Fruits et légumes,1,Légumes,1,0
33,Carotte,33.jpg,Fruits et légumes,1,Légumes,1,0
